Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,28,2,6,b,14.76,1.96774,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,28,2,6,b,13.71,2.41197,101,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,28,2,6,b,12.26,1.073313,45,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,28,2,6,b,11.98,0.964106,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,28,2,6,b,10.91,0.928655,44,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,28,2,6,b,10.77,1.44,81,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,16,2,1,a,0.132,0.017088,73,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,16,2,1,a,0.129,0.010392,108,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,16,2,1,a,0.119,0.007141,51,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,16,2,1,a,0.117,0.006481,42,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,16,2,1,a,0.099,0,57,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,16,2,1,a,0.092,0.006856,47,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,19,2,2,,0.167,0.008832,78,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,19,2,2,,0.165,0.009381,88,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,19,2,2,,0.14,0.008944,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,19,2,2,,0.14,0.008888,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,19,2,2,,0.128,0.00866,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,19,2,2,,0.124,0.00922,85,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,22,2,3,,0.229,0.015362,59,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,22,2,3,,0.226,0.019596,96,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,22,2,3,,0.2,0.007211,52,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,22,2,3,,0.193,0.00728,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,22,2,3,,0.175,0.007071,50,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,22,2,3,,0.169,0.006782,46,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,24,2,4,,0.27,0.014967,56,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,24,2,4,,0.268,0.016852,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,24,2,4,,0.237,0.01456,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,24,2,4,,0.228,0.014967,56,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,24,2,4,,0.215,0.00781,61,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,24,2,4,,0.211,0.015748,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,26,2,5,,0.297,0.015232,58,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,26,2,5,,0.293,0.020298,103,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,26,2,5,,0.268,0.014832,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,26,2,5,,0.258,0.015748,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,26,2,5,,0.243,0.012649,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,26,2,5,,0.237,0.013565,46,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,28,2,6,b,0.37,0.026833,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,28,2,6,b,0.358,0.03015,101,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,28,2,6,b,0.304,0.013416,45,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,28,2,6,b,0.299,0.014832,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,28,2,6,b,0.281,0.013266,44,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,28,2,6,b,0.272,0.027,81,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,1,b,26.633333,22.5,1,1,a,11.93430519,0.8675691026,9,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,1,b,26.633333,26,1,2,,9.092105263,0.9482203711,9,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,1,b,26.633333,29.5,1,3,b,8.092010602,0.5526315789,9,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,2,,31.25,22.5,1,1,a,10.61823173,0.8692730027,9,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,2,,31.25,26,1,2,,8.09182128,0.6332828474,9,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,2,,31.25,29.5,1,3,b,7.881484286,0.7903256342,9,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,3,a,35.116667,22.5,1,1,a,9.091915941,1.342957213,9,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,3,a,35.116667,26,1,2,,7.197368421,0.8667171526,9,
Kokita 2004,Latitudinal compensation in female reproductive rate of a geographically widespread reef fish,spawning interval,Counter,3,a,35.116667,29.5,1,3,b,7.355168497,0.6736084816,9,
Nylin et al. 1996,Reaction norms for age and size at maturity in Lasiommata butterflies: predictions and tests,developmental rate,Counter,1,a,59.485415,15h,1,2,b,31.2,22.627417,8,"experiments 1 and 2 refer to sex (1=male, 2= female)"
Nylin et al. 1996,Reaction norms for age and size at maturity in Lasiommata butterflies: predictions and tests,developmental rate,Counter,1,a,59.485415,17h,1,,,38.6,22.627417,8,"experiments 1 and 2 refer to sex (1=male, 2= female)"
